product_id,rating,review_text
108764,5,addition shampoo made hers fell love bought second time give shine hair smell like ginger hers size neither large small middle size cause hair loss mean become one essential shampoo life try mask following hopefully come good expectation please patient please like thank addicted site take advantage offer took offer stay month use lot smell like hers liked size suitable
108764,5,smell sweet good use two squeezed enough lot foam put hair directly let hair breathe frankly part go back take two box finish loving take mask like benefit red heart
108764,5,smell acceptable good use use twice week strong hair removed fat follicle need twice week excellent cleaning quality excellent natural material size suitable enough long period life use cleanliness shine hair combination rosary mint clean scalp
108764,5,shampoo bitter smell sweet sweet improves smell rosary mint strange smell pleasant color liquid white transparent true foam clean hair hair greasy wash twice sweet moisturizing oil mean
108764,5,natural scent hers pleasant even though i'm wa feel shiny smooth next day even using expensive shampoo condition beauty salon recommended feel good time continued use start feel unsatisfactory? maybe using shampoo wrong way? first time i've felt satisfied using using shampoo month regular hairdresser told ``my hair longer friday!'' i'm happy would like continue using product purchase good price coupon
108764,5,smell sweet pleasant liked use easy refreshed hair size medium come without packing color liquid white sticky clean hair fluff foam need two three pressure depending length hair density frankness excellent hair recommend mask group growing heart growing heart
108764,5,awesome amazing lot word can't justice honest friend hair improved hair thickened frankly need lot advertising amazing smell good important thing take entire package benefit lot amazing hair straightened hair smell nice lively red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart
108764,5,best brand hair shampoo put scalp wash justly volume enough frankly whose hair long normal daily use benefit shampoo reduces hair loss experience give moisturizing hair
108764,5,smell refreshing bad use almost daily quality excellent even ingredient sweet size enough one person 3 month one person maybe month! packing practical benefit make hair moisturized radiant scalp breathes hair dry moisturizing balanced suitable hair problem eczema psoriasis wound like may god make happy
108764,5,shampoo top 3 list cleansed well hair felt bit dry clean soft light smell mint rosary singly feeling scalp father lot little go long way hope review helped red heart
108764,5,chin shampoo take together oil result chin main component shampoo following property refreshing soothing scalp mint extract refreshing property create feeling coolness soothing scalp especially helpful scalp irritation seborrheic dermatitis strengthens hair rosary improve blood circulation hair follicle help strengthen hair stimulate hair growth also contains antioxidant protect hair damage free radical aroma effect aroma mint rosary create pleasant smell add feeling freshness cleanliness thanks like
108764,5,hair dyed need lot care dye end became dry brittle first use shampoo conditioned hair became moisturized smooth!! seriously first use notice difference! scent rosary shampoo conditioned refreshing! size price great quality great age used everyone except child course little hot scalp! packing excellent benefit first use dyed hair liked composition product especially since love rosary personal experience great benefit! please note sensitive hair scalp formula people sensitive rosary him!
108764,5,clean scalp well well dry hair sensitive scalp moisture give shine hair help grow new hair scalp also price compared size perfect use love scent it’s fresh rosary sent high quality nice packing!!
108764,5,congratulation ukraine rate red heart thumb light skin tone bought shampoo great review regret heart hand medium light skin tone really really cool! gentle fresh smell good composition clean perfectly scalp becomes cleansed moisturized hair shine definitely recommend shampoo also want try serum series also packing convenient dispense
108764,5,cool make scalp clean cause dryness hair great product definitely want talk lot really worth buying like comment like available buy lot secure
108764,5,massaged small amount scalp directed since long hair little worried lack lather shampooing rinsing scalp felt refreshed hair creak satisfied moisturized smooth finger
108764,5,shampoo great cleansed hair scalp without stripping hair natural oil also strengthens hair strand promotes hair growth i’ve using shampoo almost two year since using hair become fuller longer
108764,5,oily scalp started using two week ago 3 day per week misty smell feel good apply keep scalp clerk fresh le greasy love keep using
108764,5,god bless grant peace upon muhammad first thing testimony regarding rosary product love never without whether shampoo conditioned oil even herb smell acceptable use twice week quality wonderful size good useful everyone packing sweet benefit clear wonderful composition oil delicate aromatic moisturizing hair excellent hair nourishment
108764,5,shampoo smell sweet first use mint rosary use feel sense freshness suitable everyone hair loss reduced treat scalp composition beneficial hair softness moisturizing high quality recommend try order conditioned available hope use shampoo feel result effective package size suitable
108764,5,shampoo wonderful true sense word hair dry curly result third use vitality shine softness hair tried many organic shampoo experience distinct everyone highly recommend became favorite shampoo never change
108764,5,smell pleasant quality excellent use cleansed scalp applied wet hair benefit get rid dandruff clean scalp also increase hydration feeling sensitive stop using size 355 my shine crazy like please heart hand
108764,5,best shampoo lotion hair recommend amazing rosary rosary herb known benefit hair strengthens lengthen softens hair advise use girl take whole set growing heart use bubonic drinking pill took herb smell nice use daily high quality average size average lifespan one month two month package excellent benefit lengthening tapping strengthening hair rosary formula humane protects treat scalp sensitive moisturizes concern
108764,5,passed crazy smelled like rosary mint felt difference length wet hair put scalp rub leave like least 5 minute rise use conditioned feel suit everyone
