product_id,rating,review_text
108764,5,"The addiction to this shampoo is made up of herbs. She fell in love with it when she bought it for the second time. It gives shine to the hair and smells like ginger and other herbs. Its size is neither large nor small, in the middle of its size, and it does not cause hair loss. This means that it has become one of the essential shampoos in my life. I had to try the mask following it. Hopefully, it will come out with good expectations. Please be patient Please like and thank you. I am addicted to this site and take advantage of the offers. I took it on offer and it will stay with you for a month if you use it a lot. It smells like herbs. I liked it and the size is suitable."
108764,5,"The smell is sweet. It is not good to use. Two squeezes of it are enough for a lot of foam. Do not put it on the hair directly. And let the hair breathe, frankly, for my part, I can go back to take two boxes if I finish loving it and take the mask with it. Like if you benefit ❤️"
108764,5,"The smell is acceptable and good to use. I use it twice a week because it is strong on the hair and removes the fat that the follicle needs. Twice a week as an excellent cleaning. The quality is very excellent and natural materials. The size is suitable and it is enough for a long period of life. I use it for me. And the cleanliness and shine of the hair, its combination of rosemary and mint cleans the scalp."
108764,5,"The shampoo is so bitter and its smell is sweet. It is sweet. It improves the smell of rosemary and mint with a strange smell, but it is pleasant, and the color of the liquid is white on transparent, and it is true that it foams and cleans the hair, but if your hair is greasy, wash twice. Sweet moisturizing, not oil, I mean only"
108764,5,"The natural scent of herbs is pleasant, and even though I'm in my 50s, I feel shiny and smooth the next day. Why is it that even after using expensive shampoos and conditioners from a beauty salon that are recommended to me, they feel good for a few times, but after continued use, they start to feel unsatisfactory? (Maybe I was using the shampoo the wrong way?) This is the first time I've felt more satisfied after using it. After using this shampoo for about a month, my regular hairdresser told me, ``My hair is no longer frizzy!'' and I'm so happy. I would like to continue using this product because I can purchase it at a good price when there is a coupon."
108764,5,"It smells sweet and pleasant, I liked it, its use is very easy, it refreshes the hair, its size is medium, it comes without packaging, the color of the liquid is white and sticky, it cleans the hair and does not fluff it, and it foams, and you need two to three pressures, depending on the length of your hair, its density and frankness is excellent. For hair, I recommend the mask from the same group 💗💗"
108764,5,"Awesome, amazing, a lot of words I can't do justice to my honest friend, my hair has improved, my hair has thickened, frankly, it needs a lot of advertising. It's amazing and it smells good. The most important thing is to take the entire package so you can benefit a lot. It's amazing, my hair is straightened, and my hair smells nice and lively ❤️❤️❤️❤️❤️❤️❤ ️❤️❤️❤️❤️❤️❤️❤️ ❤️❤️❤️❤️❤️❤️❤️❤️❤️"
108764,5,"The best brand hair shampoo. You put it more on the scalp and wash it justly. The volume is enough, frankly, for those whose hair is long, and it is normal for daily use. The benefit of the shampoo is that it reduces hair loss from experience and gives moisturizing to the hair."
108764,5,"The smell is refreshing. It is not bad. The use is almost daily. The quality is once excellent. Even its ingredients are very, very, very sweet. The size can be enough for one person for 3 months, but for more than one person, maybe a month! The packaging is practical. The benefit makes the hair moisturized and radiant, and the scalp breathes. The hair does not dry out once. Its moisturizing is balanced. It is not suitable for those who have hair problems such as eczema, psoriasis and wounds. Like, may God make you happy"
108764,5,this shampoo is now on my top 3 list. it cleanses very well. my hair felt a bit dry but clean and so soft. it has a light smell of mint and rosemary and a tingly feeling on scalp. it lathers a lot so a little goes a long way. i hope my review helped ❤
